county_id	snf_id	worker_hours	nresid	beds	latitude	longitude	race_b	race_w	race_ns	sex_f	sex_m	avgage	dis	los
071	265202	3.324998423	94	177	38.557123	-91.016468	0	99.18	0.82	0.617	0.383	83.78	0.3571	25
071	265337	2.390832596	75	118	38.482008	-90.747781	0	97.54	2.46	0.625	0.375	74.58	0.5455	18
071	265340	3.444896378	64	120	38.208133	-91.180023	0	98.73	1.27	0.5752	0.4248	76.12	0.5769	20.5
071	265374	3.070755424	52	102	38.56351	-91.033768	0	96.38	3.62	0.6825	0.3175	80.43	0.5	23
071	265390	2.443280152	106	120	38.450535	-91.014104	14.77	73.86	11.37	0.4706	0.5294	65.38	0	62.5
071	265415	5.008271866	64	90	38.5983	-91.24735	0	96.03	3.97	0.6061	0.3939	83.57	0.375	19
071	265440	2.546767919	19	60	38.406472	-91.319379	0	100	0	0.5733	0.4266	73.29	0.4129	20
071	265495	2.936806024	52	79	38.35722	-90.97902	0	94.63	5.37	0.7465	0.2535	81.1	0.6154	22.5
