sp_id	gq_type	stcotrbg	persons	latitude	longitude
450002367	C	291833105011	2526	38.7758263	-90.5003616
450002368	C	291833105012	125	38.7798212	-90.4941192
450002369	C	291833105013	120	38.7828330	-90.4954450
450002370	C	291833105021	18	38.7840891	-90.4872233
450003841	C	291833106012	527	38.7882028	-90.5028255
450009079	P	291833105021	311	38.7839451	-90.4819548
450009080	P	291833110032	11	38.7630395	-90.4934554
450018626	P	291833104002	3	38.7948941	-90.4766187
450018627	P	291833104002	3	38.7948941	-90.4766187
450018628	P	291833105021	4	38.7840891	-90.4872233
450018629	P	291833105021	6	38.7840891	-90.4872233
450018630	P	291833105021	47	38.7840891	-90.4872233
450018631	P	291833105022	9	38.7733885	-90.4847282
450018632	P	291833105022	5	38.7733885	-90.4847282
450018633	P	291833106012	4	38.7887389	-90.5031588
450018634	P	291833106012	3	38.7887389	-90.5031588
450018635	P	291833110032	3	38.7600540	-90.4946531
450018636	P	291833111032	2	38.7218183	-90.6461825
450018637	P	291833111032	2	38.7218183	-90.6461825
450018638	P	291833111241	5	38.7223523	-90.6878057
450018639	P	291833111241	2	38.7223523	-90.6878057
450028757	N	291833105013	97	38.7823540	-90.4907740
450028758	N	291833110012	60	38.7569619	-90.5249965
450028759	N	291833113113	46	38.7872136	-90.6038266
450028760	N	291833113113	44	38.7882438	-90.6046409
450028761	N	291833124001	94	38.7930995	-90.5787074
450028762	N	291833117342	83	38.8011567	-90.6888302
450028763	N	291833121951	67	38.8149861	-90.8649784
450035147	N	291833105011	57	38.7717473	-90.4997307
450035148	N	291833107003	122	38.7861008	-90.5275266
450035149	N	291833110012	58	38.7582322	-90.5266493
450035150	N	291833111032	129	38.7227514	-90.6568459
450042148	N	291833105011	56	38.7735425	-90.5006441
450042149	N	291833121951	66	38.8063500	-90.8544702
450045757	N	291833103023	52	38.8014041	-90.4846800
450045758	N	291833109031	6	38.7869008	-90.5568692
450045759	N	291833111541	164	38.7586683	-90.7273947
