hosp_id	workers	physicians	beds	latitude	longitude
H006	2638	94	850	38.638861	-90.182962
H005	1288	46	415	38.638861	-90.182962
H054	186	7	60	38.643593	-90.262721
H107	273	10	88	38.583272	-90.227494
H194	981	35	316	38.622719	-90.239535
H105	65	2	21	38.621503	-90.238433
H119	186	7	60	38.638861	-90.182962
H021	9	1	3	38.77964	-90.336883
