sp_id	gq_type	stcotrbg	persons	latitude	longitude
450000356	C	295101193002	479	38.6365162	-90.2334300
450000357	C	295101241001	15	38.5906330	-90.2260270
450002382	C	295101102004	34	38.6714676	-90.2331847
450002383	C	295101112002	77	38.6563120	-90.2473432
450002384	C	295101124003	301	38.6399675	-90.2638552
450002385	C	295101186001	692	38.6323392	-90.2485818
450002386	C	295101193003	1622	38.6391417	-90.2433732
450002387	C	295101211001	217	38.6362686	-90.2248162
450003845	C	295101184001	730	38.6317437	-90.2242880
450007789	P	295101270002	806	38.7056803	-90.2219535
450007790	P	295101256003	563	38.6258884	-90.1980424
450009087	P	295101266002	465	38.6428285	-90.1843098
450010698	P	295101266003	30	38.6466255	-90.2006735
450018729	P	295101054002	6	38.6635282	-90.2904152
450018730	P	295101054002	1	38.6635282	-90.2904152
450018731	P	295101065002	188	38.6664337	-90.2631149
450018732	P	295101066003	9	38.6645726	-90.2720361
450018733	P	295101066003	6	38.6645726	-90.2720361
450018734	P	295101270002	122	38.7009867	-90.2206193
450018735	P	295101114001	3	38.6580385	-90.2296715
450018736	P	295101172005	7	38.6113089	-90.2545375
450018737	P	295101172005	15	38.6113089	-90.2545375
450018738	P	295101273004	10	38.6163224	-90.2335705
450018739	P	295101273004	23	38.6163224	-90.2335705
450018740	P	295101191023	7	38.6401075	-90.2502365
450018741	P	295101191023	5	38.6401075	-90.2502365
450018742	P	295101193001	41	38.6421219	-90.2364526
450018743	P	295101193001	4	38.6421219	-90.2364526
450018744	P	295101255001	1	38.6312289	-90.2013703
450018745	P	295101255001	74	38.6312289	-90.2013703
450018746	P	295101256003	9	38.6264925	-90.1941577
450028306	N	295101065001	87	38.6685792	-90.2590023
450028307	N	295101074003	14	38.6949990	-90.2456320
450028308	N	295101111001	97	38.6453292	-90.2292997
450028309	N	295101151005	44	38.5853633	-90.2718614
450028310	N	295101156001	256	38.5751834	-90.2337171
450028311	N	295101174005	177	38.6072925	-90.2418425
450028312	N	295101191023	130	38.6411278	-90.2519389
450028313	N	295101271001	74	38.6483983	-90.2185475
450035195	N	295101042002	64	38.6305984	-90.2991261
450035196	N	295101082001	93	38.7170678	-90.2363305
450035197	N	295101124003	142	38.6407077	-90.2642190
450038350	N	295101151005	43	38.5872675	-90.2724225
450038351	N	295101191024	44	38.6442643	-90.2533904
450038782	N	295101151002	71	38.5870653	-90.2670112
450038783	N	295101151005	39	38.5855500	-90.2717925
450039932	N	295101082001	91	38.7169332	-90.2321110
450039933	N	295101231001	30	38.6160116	-90.2229724
450039934	N	295101242003	34	38.5952450	-90.2255100
450041059	N	295101065001	87	38.6716450	-90.2635857
450041060	N	295101156005	26	38.5774758	-90.2356955
450042103	N	295101065001	86	38.6673705	-90.2584940
450042160	N	295101157003	86	38.5825840	-90.2422364
450045789	N	295101113002	3	38.6569256	-90.2408920
450045790	N	295101121002	75	38.6491759	-90.2788057
450045791	N	295101273003	66	38.6228327	-90.2348111
450045792	N	295101202001	101	38.6596087	-90.2086094
