ZIPCODE,SVI_HC_Disability,SVI_HC_English,SVI_HH_SingleParent,SVI_SS_Poverty,SVI_SS_No_HS,SVI_HT_MultiUnit,SVI_HT_Crowding,SVI_HT_MobileHomes,SVI_SS_HousingBurden,SVI_HT_NoVehicle,SVI_SS_No_Health_Ins
63164,20.7,2.2,0,15.68,9.98,95.39,7.9,0,31.05,21.45,0.48
63160,20.7,2.2,0,15.68,9.98,95.39,7.9,0,31.05,21.45,0.48
63102,20.7,2.2,0,15.68,9.98,95.39,7.9,0,31.05,21.45,0.48
63197,17.48,0.51,59.56,25.87,6.85,90.62,2.57,0,39.84,22.04,5.82
63179,17.48,0.51,59.56,25.87,6.85,90.62,2.57,0,39.84,22.04,5.82
63103,17.48,0.51,59.56,25.87,6.85,90.62,2.57,0,39.84,22.04,5.82
63157,11.02,0.55,59.17,27.18,5.17,17.89,0.75,0.16,40.7,11.49,8.82
63104,11.02,0.55,59.17,27.18,5.17,17.89,0.75,0.16,40.7,11.49,8.82
63195,5.43,0.73,19.55,10.9,2.66,29.07,0.6,0,38.05,3.84,2.07
63105,5.43,0.73,19.55,10.9,2.66,29.07,0.6,0,38.05,3.84,2.07
63106,19.01,1.14,79.66,57.15,24.08,29.89,2.17,0,63.18,40.55,12.33
63107,21.57,0,91.98,43.38,19.12,5.17,5.78,0.45,48.76,38.11,13.73
63156,13.68,0.48,45.55,27.14,5.98,66.66,1.43,0.13,46.88,22.42,6.05
63108,13.68,0.48,45.55,27.14,5.98,66.66,1.43,0.13,46.88,22.42,6.05
63109,12.32,1.48,22.9,11.03,4.01,3.91,0.29,0.34,37.23,5.93,4.85
63110,9.53,1.04,37.21,18.16,5.06,15.95,1.31,0,35.85,12.17,5.26
63111,18.8,1.4,50.06,39.48,15.22,8.17,7.03,0.2,61.95,22.82,13.88
63112,17.54,1.09,50.57,33.81,14.17,31.31,0.67,0.5,55.35,25.8,10.77
63113,23.24,0.14,85.81,31.86,17.51,8.99,1.69,0.45,51.01,26.17,17.13
63114,16.84,1.41,46.52,24.63,13.26,4.79,1.93,0.97,43.75,6.61,15.44
63115,20.12,0.38,84.62,41.16,19.69,2.51,0.17,0.08,65.82,29.94,14.62
63116,14.37,6.67,34.3,27.29,12.55,5.04,1.94,0.91,44.85,15.08,11.05
63117,5.02,0.79,13.49,6.78,2.23,9.82,0,0,31.97,4.17,2.85
63163,12.55,4.45,69.77,33.78,13.91,4.8,4.47,0.29,50.57,24.03,14.25
63158,12.55,4.45,69.77,33.78,13.91,4.8,4.47,0.29,50.57,24.03,14.25
63118,12.55,4.45,69.77,33.78,13.91,4.8,4.47,0.29,50.57,24.03,14.25
63171,9.83,0.17,11.53,6.94,2.88,20.01,0.8,0.22,45.16,11.05,2.14
63119,9.83,0.17,11.53,6.94,2.88,20.01,0.8,0.22,45.16,11.05,2.14
63120,22.26,0.49,93.05,42.02,24.06,3.73,4.91,0,59.16,25.92,18.37
63121,14.74,0.22,70.44,28.52,11.19,6.8,1.31,0.61,54.23,13.16,10.03
63122,7.31,0.37,17.22,6.15,1.59,11.44,0.67,0.06,42.56,2.94,2.49
63123,13.88,3.39,24.49,12.01,8.47,7.2,1.12,0.48,39.42,4.44,6.47
63124,9.18,0.7,9.81,2.76,1.1,19.84,0,0,38.59,7.69,1.53
63125,16.08,4.28,43.16,16.02,12,8.22,2.57,0.21,32.41,7.26,7.92
63126,9.84,1.36,18.63,7.79,2.82,6.22,0.54,0.11,33.64,1.06,4.44
63127,12.35,0.27,6,6.1,2.89,19.74,0.43,0,65.98,10.66,1.99
63128,12.48,0.81,22.78,7.5,3.68,10.81,0.87,0.53,53.77,3.69,2.49
63151,10.87,0.83,18.57,8.33,5.16,15.82,0.36,0.04,36.55,4.14,3.99
63129,10.87,0.83,18.57,8.33,5.16,15.82,0.36,0.04,36.55,4.14,3.99
63130,9.83,1.6,19.24,17.92,4.93,6.39,1.23,0,47.59,7.87,5.78
63131,7.42,0.2,14.42,4.3,2.09,3.58,0.28,0.16,51.06,0.73,1.31
63132,8.72,2.14,32.11,13.92,3.44,10.13,1.6,0,40.62,4.88,6.1
63133,16.51,0,83.32,42.61,18.06,12.37,1.52,1.03,64.64,20.44,10.49
63145,14.75,1.07,65.71,33.96,10.43,2.93,2.27,0.32,52.99,12.72,10.22
63134,14.75,1.07,65.71,33.96,10.43,2.93,2.27,0.32,52.99,12.72,10.22
63135,16.29,0.23,64.05,29.2,9.82,5.81,0.86,0.21,49.7,7.41,9.91
63136,18.11,0.1,80.58,38.13,13.81,8.63,1.45,0.04,64.73,19.12,13.37
63137,19.36,0.17,72.97,32.65,9.59,2.75,2.19,0,64.34,13.36,12.38
63138,17.94,0,67.03,26.83,9.25,13.83,2.41,0.15,53.63,10.52,12.7
63139,12.25,1.17,17.62,13.91,4.85,5.39,1.26,0.49,30.78,5.98,5.81
63140,9.2,1.59,100,64.69,21.08,33.92,5,0,51.58,10,15.73
63167,10.95,0.95,19.94,7.75,3.44,20.43,0.61,0,38.73,2.05,3.76
63141,10.95,0.95,19.94,7.75,3.44,20.43,0.61,0,38.73,2.05,3.76
63143,8.69,0.35,47.26,14.35,4.07,22.01,0.65,0,32.35,11.93,8.1
63144,5.22,0.52,18.79,5.01,1.62,12.7,0.61,0,28.99,1.06,1.02
63146,12.17,1.64,20.94,10.52,2.03,22.63,0.47,0.12,33.7,4.57,4.05
63147,25.67,0.62,68.72,41.24,19.12,7.65,2.86,1.5,60.22,21.51,14.52
63180,,0,,,,,,,,,
63178,,0,,,,,,,,,
63177,,0,,,,,,,,,
63166,,0,,,,,,,,,
63155,,0,,,,,,,,,
63302,12.02,0.72,35.71,12.32,6.87,9.97,0.92,4.39,35.32,4.66,6.04
63301,12.02,0.72,35.71,12.32,6.87,9.97,0.92,4.39,35.32,4.66,6.04
63303,10.34,0.54,23.3,9.5,4.98,15.33,0.41,3.49,41.67,3.25,3.93
63338,10.14,0.25,18.54,4.89,3.48,4.03,0.39,0.15,43.27,1.52,3.34
