sp_id	gq_type	stcotrbg	persons	latitude	longitude
450000345	C	290997005023	189	38.2598889	-90.5589544
450009072	P	290997005024	118	38.2359792	-90.5687674
450009073	P	290997005024	118	38.2309228	-90.5657435
450018533	P	290997003041	2	38.4847802	-90.5409288
450018534	P	290997005023	8	38.2790778	-90.5650151
450018535	P	290997005024	29	38.2583834	-90.6018500
450018536	P	290997005024	18	38.2583834	-90.6018500
450018537	P	290997013002	12	38.1265506	-90.5022743
450028677	N	290997001182	145	38.4388512	-90.3940429
450028678	N	290997007005	78	38.2188563	-90.3773929
450028679	N	290997012001	44	38.1515923	-90.5642276
450028680	N	290997012001	42	38.1515919	-90.5642132
450028681	N	290997012006	45	38.1249462	-90.5661832
450028682	N	290997014012	67	38.0781097	-90.4871153
450028683	N	290997014041	74	38.1359640	-90.3599780
450028684	N	290997014041	73	38.1979670	-90.3952940
450035121	N	290997002082	97	38.4589026	-90.4355922
450035122	N	290997008022	77	38.2498838	-90.3983383
450035123	N	290997008022	75	38.2537332	-90.3996018
450035124	N	290997009001	121	38.2155033	-90.4099533
450038348	N	290997004011	99	38.3582411	-90.6475151
450045738	N	290997002032	118	38.4724807	-90.4250510
