county id	snf_id	worker_hours	nresid	beds	latitude	longitude	race_b	race_w	race_ns	sex_f	sex_m	avgage	dis	los
099	265216	4.01	154	189	38.252256	-90.397562	0	96.21	3.79	0.6245	0.3755	71.24	0.475	29
099	265324	2.77	131	178	38.438844	-90.394092	0	99.58	0.42	0.6471	0.3529	81.62	0.4462	18
099	265369	6.27	106	131	38.23624	-90.39324	0	99.55	0.45	0.7447	0.2553	87.16	0.7286	19
099	265395	4.54	98	144	38.481956	-90.435475	9.17	82.57	8.26	0.4938	0.5062	64.21	0	41
099	265401	3.48	127	150	38.21475	-90.410088	0	98.52	1.48	0.4769	0.5231	71.5	0.2917	38
099	265430	7.55	84	150	38.3589	-90.645736	0	97.73	2.27	0.5904	0.4096	71.36	0.5	28
099	265509	4.84	69	153	38.45914	-90.43486	0	92.42	7.58	0.3519	0.6481	65.49	0.25	120
099	265620	4.25	94	120	38.151698	-90.563147	0	84.87	15.13	0.6835	0.3165	75.29	0.0833	30
