sp_id	gq_type	stcotrbg	persons	latitude	longitude
450000350	C	291892152013	91	38.6430656	-90.4513230
450000351	C	291892152024	326	38.6454737	-90.5050956
450000352	C	291892163001	3937	38.6481250	-90.3116389
450000353	C	291892192002	101	38.5923074	-90.3456046
450000354	C	291892195001	318	38.5892687	-90.3456537
450000355	C	291892196004	118	38.5846083	-90.3240242
450002371	C	291892101002	20	38.7858215	-90.1912752
450002372	C	291892111022	190	38.7784371	-90.2848972
450002373	C	291892113311	126	38.7977026	-90.3577283
450002374	C	291892137006	276	38.6946176	-90.2990320
450003842	C	291892152013	92	38.6420166	-90.4626061
450003843	C	291892163003	167	38.6426974	-90.3157120
450003844	C	291892163003	167	38.6381603	-90.3120406
450007233	P	291892215031	1081	38.4904155	-90.7012539
450009084	P	291892165003	1067	38.6485117	-90.3380873
450010683	P	291892101003	17	38.8290716	-90.2185468
450010684	P	291892101003	17	38.8283441	-90.2176072
450010685	P	291892101003	17	38.8271054	-90.2153056
450010686	P	291892101003	17	38.8261896	-90.2124308
450010687	P	291892101003	17	38.8255003	-90.2116898
450010688	P	291892101003	17	38.8259869	-90.2160760
450010689	P	291892165004	32	38.6450676	-90.3436664
450010690	P	291892216211	22	38.6350249	-90.6886676
450018649	P	291892101003	37	38.8061620	-90.1477462
450018650	P	291892108053	1	38.7889747	-90.2769337
450018651	P	291892108053	4	38.7889747	-90.2769337
450018652	P	291892108061	1	38.7921793	-90.2378080
450018653	P	291892109253	2	38.8079171	-90.3092531
450018654	P	291892110001	2	38.8010443	-90.2984383
450018655	P	291892111021	2	38.7860905	-90.2951761
450018656	P	291892111021	2	38.7860905	-90.2951761
450018657	P	291892113341	61	38.8170207	-90.3970915
450018658	P	291892113341	57	38.8170207	-90.3970915
450018659	P	291892121014	40	38.7116098	-90.2691946
450018660	P	291892123003	9	38.7068424	-90.2970089
450018661	P	291892143003	36	38.6969406	-90.3341705
450018662	P	291892143003	21	38.6969406	-90.3341705
450018663	P	291892143001	1	38.6892789	-90.3428608
450018664	P	291892143001	4	38.6892789	-90.3428608
450018665	P	291892149003	5	38.6960529	-90.4001240
450018666	P	291892151411	34	38.7092882	-90.4873477
450018667	P	291892151411	15	38.7092882	-90.4873477
450018668	P	291892158004	3	38.6651652	-90.3449800
450018669	P	291892159003	7	38.6723073	-90.3188635
450018670	P	291892159003	10	38.6723073	-90.3188635
450018671	P	291892161001	3	38.6558351	-90.3123332
450018672	P	291892161001	8	38.6558351	-90.3123332
450018673	P	291892165003	151	38.6480629	-90.3388720
450018674	P	291892165004	6	38.6453294	-90.3461976
450018675	P	291892185004	1	38.5895647	-90.3993243
450018676	P	291892185004	4	38.5895647	-90.3993243
450018677	P	291892192001	28	38.5936363	-90.3537973
450018678	P	291892192001	26	38.5936363	-90.3537973
450018679	P	291892201001	10	38.5470341	-90.2925939
450018680	P	291892201001	1	38.5470341	-90.2925939
450018681	P	291892213012	2	38.5200357	-90.3551340
450018682	P	291892213012	3	38.5200357	-90.3551340
450018683	P	291892215031	1	38.4844839	-90.7063008
450028777	N	291892107021	19	38.7831148	-90.2259281
450028778	N	291892107021	18	38.7840463	-90.2258711
450028779	N	291892108051	31	38.7757929	-90.2389824
450028780	N	291892108033	159	38.8084120	-90.2775980
450028781	N	291892113013	70	38.8015585	-90.3466542
450028782	N	291892122002	73	38.6965174	-90.2865182
450028783	N	291892135002	78	38.7120748	-90.3501453
450028784	N	291892152011	118	38.6711204	-90.4538883
450028785	N	291892152013	54	38.6700660	-90.4472610
450028786	N	291892152321	71	38.6594175	-90.5437675
450028787	N	291892161002	17	38.6560539	-90.3064769
450028788	N	291892161002	13	38.6613729	-90.3051396
450028789	N	291892177021	72	38.6405020	-90.5040270
450028790	N	291892177021	70	38.6383190	-90.4887280
450028791	N	291892177021	70	38.6279675	-90.5086400
450028792	N	291892177021	70	38.6401720	-90.5026750
450028793	N	291892178511	84	38.6378923	-90.5706412
450028794	N	291892179211	166	38.5818680	-90.5959920
450028795	N	291892179212	22	38.5515910	-90.5878114
450028796	N	291892181032	102	38.5656530	-90.4793000
450028797	N	291892183003	88	38.5705325	-90.4093825
450028798	N	291892195004	74	38.5759500	-90.3385580
450028799	N	291892195004	73	38.5761302	-90.3410525
450028800	N	291892196005	69	38.5752606	-90.3309286
450028801	N	291892203001	83	38.5041003	-90.2796907
450028802	N	291892220001	250	38.4809653	-90.3902237
450028803	N	291892216282	71	38.6751267	-90.5311700
450035158	N	291892108051	29	38.7755694	-90.2462800
450035159	N	291892108052	137	38.7780804	-90.2695879
450035160	N	291892109232	82	38.8199794	-90.3198963
450035161	N	291892112023	93	38.7781130	-90.3349355
450035162	N	291892113313	164	38.8039760	-90.3507600
450035163	N	291892124001	81	38.7178909	-90.2974072
450035164	N	291892126004	54	38.7456148	-90.3069917
450035165	N	291892131013	44	38.7481177	-90.4313360
450035166	N	291892131014	97	38.7499903	-90.4307798
450035167	N	291892132031	54	38.7395875	-90.4025775
450035168	N	291892132031	50	38.7452728	-90.4300491
450035169	N	291892132025	175	38.7280220	-90.4342060
450035170	N	291892151031	45	38.6797600	-90.4711004
450035171	N	291892159003	96	38.6732995	-90.3183845
450035172	N	291892159005	34	38.6658312	-90.3161369
450035173	N	291892179212	18	38.5507540	-90.5883356
450035174	N	291892180121	78	38.5991263	-90.4686540
450035175	N	291892184023	13	38.5844868	-90.4089814
450035176	N	291892185001	104	38.6007426	-90.3980174
450035177	N	291892195004	70	38.5766269	-90.3430385
450035178	N	291892196005	67	38.5763478	-90.3299058
450035179	N	291892204431	144	38.4594643	-90.3093465
450035180	N	291892204312	112	38.4908666	-90.3203314
450035181	N	291892212011	18	38.5513960	-90.4169496
450035182	N	291892212023	60	38.5113717	-90.3739655
450035183	N	291892212023	59	38.5241400	-90.3991852
