sp_id	gq_type	stcotrbg	persons	latitude	longitude
450035184	N	291892215033	135	38.4958279	-90.6155693
450035185	N	291892216282	71	38.6626624	-90.5428728
450037817	N	291892131014	97	38.7520542	-90.4364842
450037818	N	291892201006	156	38.5336412	-90.3025764
450037819	N	291892216282	69	38.6626624	-90.5428728
450038349	N	291892212012	106	38.5220975	-90.4044194
450038776	N	291892108044	97	38.8200170	-90.2392580
450038777	N	291892119003	63	38.7460260	-90.2562935
450038778	N	291892152011	117	38.6772000	-90.4667177
450038779	N	291892177021	70	38.6283560	-90.5057258
450038780	N	291892202001	44	38.5339841	-90.2744185
450039931	N	291892184023	13	38.5833147	-90.4067662
450041050	N	291892107021	15	38.7840463	-90.2258711
450041051	N	291892131013	42	38.7480995	-90.4275918
450041052	N	291892137005	99	38.6867809	-90.3071313
450041053	N	291892181032	100	38.5581685	-90.4899652
450041054	N	291892196005	64	38.5765388	-90.3297300
450041055	N	291892214232	49	38.5131705	-90.4360515
450042151	N	291892142003	15	38.6757796	-90.3105488
450042152	N	291892150052	76	38.6845980	-90.4179420
450042153	N	291892152013	51	38.6416900	-90.4448183
450042154	N	291892158001	5	38.6608302	-90.3581196
450042155	N	291892158001	4	38.6596170	-90.3588110
450042156	N	291892219004	73	38.5725437	-90.3813638
450045762	N	291892101004	91	38.7777384	-90.1944632
450045763	N	291892106001	69	38.7625963	-90.2343442
450045764	N	291892106003	62	38.7650369	-90.2174320
450045765	N	291892108041	87	38.8105289	-90.2647295
450045766	N	291892111011	133	38.7851740	-90.3215261
450045767	N	291892125002	135	38.7458302	-90.2898164
450045768	N	291892132041	212	38.7254008	-90.4118010
450045769	N	291892132023	86	38.7376689	-90.4379349
450045770	N	291892136001	113	38.7221610	-90.3259800
450045771	N	291892147007	67	38.7085591	-90.3859450
450045772	N	291892152323	110	38.6601703	-90.5215355
450045773	N	291892152324	86	38.6480501	-90.5158475
450045774	N	291892165004	96	38.6453294	-90.3461976
450045775	N	291892174004	11	38.6206984	-90.3591010
450045776	N	291892177022	113	38.6196883	-90.5058914
450045777	N	291892178522	156	38.6181145	-90.5644869
450045778	N	291892179311	94	38.5886611	-90.5325975
450045779	N	291892179321	105	38.5578660	-90.5337633
450045780	N	291892180034	20	38.5718493	-90.4681430
450045781	N	291892206012	139	38.5234703	-90.3422690
450045782	N	291892214242	171	38.5113012	-90.4606577
450045783	N	291892215022	64	38.5107451	-90.6578647
450047804	N	291892106001	69	38.7625963	-90.2343442
450047805	N	291892106001	69	38.7625963	-90.2343442
450047806	N	291892106001	69	38.7625963	-90.2343442
450047807	N	291892106001	69	38.7625963	-90.2343442
450047808	N	291892106001	58	38.7625963	-90.2343442
450047809	N	291892152321	70	38.6530731	-90.5411373
450047810	N	291892152321	70	38.6530731	-90.5411373
450047811	N	291892177021	70	38.6343237	-90.4997570
450047812	N	291892177021	70	38.6343237	-90.4997570
450047813	N	291892177021	70	38.6343237	-90.4997570
450047814	N	291892219004	73	38.5768989	-90.3848909
450047815	N	291892219004	73	38.5768989	-90.3848909
450048364	N	291892152321	67	38.6530731	-90.5411373
450048365	N	291892177021	61	38.6343237	-90.4997570
450048366	N	291892219004	64	38.5768989	-90.3848909
